    MO_NAME    ,    PROPERTY    ,    VALUE    
domain:ServerFeaturePOPULATE_TEMPLATE_NAME_FEATURE,name,POPULATE_TEMPLATE_NAME_FEATURE
domain:ServerFeaturePOPULATE_TEMPLATE_NAME_FEATURE,functionalState,enabled

adaptor:HostEthIfProfileusNIC,count,6
adaptor:HostEthIfProfileusNIC,tcpSegment,enabled
adaptor:HostEthIfProfileusNIC,queuePairs,256
adaptor:HostEthIfProfileusNIC,name,usNIC
adaptor:HostEthIfProfileusNIC,descr,Recommended adapter settings for usNIC Connection
adaptor:HostEthIfProfileusNIC,ringSize,512
adaptor:HostEthIfProfileusNIC,resourceGroups,32
adaptor:HostEthIfProfileusNIC,tcpRxChecksum,enabled
adaptor:HostEthIfProfileusNIC,coalescingType,min
adaptor:HostEthIfProfileusNIC,largeReceive,enabled
adaptor:HostEthIfProfileusNIC,coalescingTime,125
adaptor:HostEthIfProfileusNIC,adminState,disabled
adaptor:HostEthIfProfileusNIC,mode,msi-x
adaptor:HostEthIfProfileusNIC,timeout,
adaptor:HostEthIfProfileusNIC,memoryRegions,131072
adaptor:HostEthIfProfileusNIC,receiveSideScaling,enabled
adaptor:HostEthIfProfileusNIC,accelaratedRFS,disabled
adaptor:HostEthIfProfileusNIC,tcpTxChecksum,enabled

bios:VfLvDIMMSupport,vpLvDDRMode,performance-mode

bios:VfMemoryMappedIOAbove4GB,vpMemoryMappedIOAbove4GB,disabled

domain:ServerFeatureADVANCED_BOOT_ORDER_FEATURE,type,major
domain:ServerFeatureADVANCED_BOOT_ORDER_FEATURE,name,ADVANCED_BOOT_ORDER_FEATURE
domain:ServerFeatureADVANCED_BOOT_ORDER_FEATURE,functionalState,enabled

domain:ServerFeatureEXCLUDE_FIRMWARE_FOR_COMPONENT_POLICY_FEATURE,type,major
domain:ServerFeatureEXCLUDE_FIRMWARE_FOR_COMPONENT_POLICY_FEATURE,name,EXCLUDE_FIRMWARE_FOR_COMPONENT_POLICY_FEATURE
domain:ServerFeatureEXCLUDE_FIRMWARE_FOR_COMPONENT_POLICY_FEATURE,functionalState,enabled

bios:VfExecuteDisableBit,vpExecuteDisableBit,disabled

bios:VfNUMAOptimized,vpNUMAOptimized,enabled

bios:VfProcessorC6Report,vpProcessorC6Report,disabled

compute:PowerSyncPolicydefault,syncOption,default
compute:PowerSyncPolicydefault,name,default

bios:VfIntelHyperThreadingTech,vpIntelHyperThreadingTech,disabled
